P,10/11/2018 01:13:26,12,2,3,3,3,2,2,3,1,0,0,0,0,0,1,0,23,25,27,42,3.8e+00,10000,6.0e+00,4.1e-01,1.2e+00,1.8e+01
P,10/11/2018 01:13:32,8,4,4,0,0,1,2,1,1,1,0,0,0,0,0,0,20,0,35,53,3.8e+00,10000,6.0e+00,3.8e-01,8.9e-01,4.8e+00
P,10/11/2018 01:13:38,9,3,1,0,1,1,2,0,1,0,0,0,0,0,0,0,18,0,25,0,3.8e+00,10000,6.0e+00,2.7e-01,6.0e-01,1.7e+00
P,10/11/2018 01:13:44,3,3,3,1,1,2,1,0,0,0,1,0,0,0,0,0,20,23,33,0,3.8e+00,10000,6.0e+00,2.6e-01,5.6e-01,5.4e+00
P,10/11/2018 01:13:50,11,6,4,2,1,1,1,1,0,0,0,0,0,0,0,0,20,27,25,37,3.8e+00,10000,6.0e+00,5.1e-01,8.9e-01,1.3e+00
P,10/11/2018 01:13:56,11,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,3.7e+00,10000,6.0e+00,3.5e-01,4.8e-01,4.9e-01
P,10/11/2018 01:14:02,11,4,2,2,2,2,0,1,0,0,1,1,0,0,0,0,22,34,30,33,3.7e+00,10000,6.0e+00,4.0e-01,7.6e-01,1.7e+01
P,10/11/2018 01:14:08,12,2,0,1,2,1,1,0,2,0,0,1,0,0,0,0,22,25,25,0,3.7e+00,10000,6.0e+00,2.8e-01,6.6e-01,1.4e+01
P,10/11/2018 01:14:14,8,6,4,1,1,0,2,0,1,0,0,0,0,0,0,0,22,27,0,0,3.7e+00,10000,6.0e+00,4.6e-01,8.5e-01,2.0e+00
P,10/11/2018 01:14:20,8,4,3,3,2,1,2,1,0,0,0,0,0,1,0,0,17,28,25,39,3.7e+00,10000,6.0e+00,4.0e-01,8.6e-01,1.7e+01
P,10/11/2018 01:14:26,13,0,4,1,1,1,3,0,1,0,1,0,0,0,0,0,0,23,35,0,3.7e+00,10000,6.0e+00,3.7e-01,8.8e-01,6.9e+00
P,10/11/2018 01:14:32,6,5,2,2,1,1,4,1,0,0,0,0,0,0,0,0,21,21,25,31,3.7e+00,10000,6.0e+00,3.5e-01,8.9e-01,1.5e+00
P,10/11/2018 01:14:38,13,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,18,33,29,0,3.7e+00,10000,6.0e+00,4.2e-01,6.7e-01,7.6e-01
P,10/11/2018 01:14:44,3,7,2,1,1,2,0,0,0,0,0,0,0,0,0,0,20,35,32,0,3.7e+00,10000,6.0e+00,3.3e-01,5.4e-01,5.7e-01
P,10/11/2018 01:14:50,5,2,3,1,0,0,2,1,0,0,0,0,0,0,0,0,21,19,0,35,3.7e+00,10000,6.0e+00,2.6e-01,5.8e-01,1.0e+00
P,10/11/2018 01:14:56,7,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,19,27,23,0,3.7e+00,10000,6.0e+00,2.6e-01,5.2e-01,6.9e-01
P,10/11/2018 01:15:02,8,2,4,0,0,0,2,0,3,1,0,0,0,0,0,0,24,0,0,0,3.7e+00,10000,6.0e+00,3.3e-01,8.8e-01,6.6e+00
P,10/11/2018 01:15:08,8,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,17,29,0,0,3.7e+00,10000,6.0e+00,3.2e-01,5.2e-01,1.5e+00
P,10/11/2018 01:15:14,6,2,2,2,0,0,2,0,0,0,1,0,0,0,0,0,17,23,0,0,3.7e+00,10000,6.0e+00,2.4e-01,5.1e-01,5.4e+00
P,10/11/2018 01:15:20,11,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,20,0,25,34,3.7e+00,10000,6.0e+00,2.5e-01,6.0e-01,1.3e+00
P,10/11/2018 01:15:26,14,2,6,0,1,1,2,1,0,0,0,0,0,0,0,0,24,0,25,39,3.7e+00,10000,6.0e+00,5.0e-01,9.4e-01,1.4e+00
P,10/11/2018 01:15:32,8,1,2,1,1,1,0,1,2,0,0,0,0,0,0,0,17,25,27,63,3.7e+00,10000,6.0e+00,2.4e-01,6.2e-01,2.9e+00
P,10/11/2018 01:15:38,8,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,16,31,26,0,3.7e+00,10000,5.9e+00,2.4e-01,5.2e-01,7.0e-01
P,10/11/2018 01:15:44,9,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,20,0,0,0,3.7e+00,10000,6.0e+00,2.6e-01,3.6e-01,1.1e+01
P,10/11/2018 01:15:50,4,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,18,0,25,0,3.8e+00,10000,6.0e+00,2.3e-01,3.8e-01,3.9e-01
P,10/11/2018 01:15:56,8,4,1,2,1,1,2,2,2,0,1,0,0,0,0,0,18,20,27,41,3.8e+00,10000,6.0e+00,3.1e-01,9.3e-01,8.3e+00
P,10/11/2018 01:16:02,12,2,1,4,2,0,1,0,2,0,0,0,0,0,0,0,16,22,0,0,3.8e+00,10000,6.0e+00,3.3e-01,7.3e-01,2.7e+00
P,10/11/2018 01:16:08,4,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,20,25,35,33,3.8e+00,10000,6.0e+00,2.7e-01,6.6e-01,2.0e+00
P,10/11/2018 01:16:14,4,3,1,3,1,1,2,0,1,0,1,0,0,0,0,0,20,22,63,0,3.8e+00,10000,6.0e+00,2.2e-01,6.3e-01,6.4e+00
P,10/11/2018 01:16:20,11,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,21,23,0,33,3.8e+00,10000,6.1e+00,3.5e-01,5.3e-01,5.5e+00
P,10/11/2018 01:16:26,8,0,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,25,30,45,3.8e+00,10000,5.9e+00,1.9e-01,5.3e-01,1.0e+00
P,10/11/2018 01:16:32,7,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,25,24,25,0,3.7e+00,10000,5.9e+00,2.4e-01,4.4e-01,5.3e-01
P,10/11/2018 01:16:38,8,2,1,2,1,0,2,1,1,0,0,0,0,0,0,0,19,26,0,37,3.8e+00,10000,6.0e+00,2.5e-01,6.4e-01,2.1e+00
P,10/11/2018 01:16:44,10,5,5,2,1,5,0,2,0,1,0,0,0,0,0,0,18,26,30,43,3.8e+00,10000,6.0e+00,5.1e-01,1.1e+00,4.3e+00
P,10/11/2018 01:16:50,10,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,19,29,0,43,3.8e+00,10000,6.0e+00,2.7e-01,7.0e-01,1.5e+00
P,10/11/2018 01:16:56,8,3,2,1,1,0,2,0,1,0,0,0,0,1,0,0,30,29,0,0,3.7e+00,10000,6.0e+00,3.0e-01,6.4e-01,1.8e+01
P,10/11/2018 01:17:02,10,3,3,1,2,1,1,1,0,0,0,0,0,0,0,0,18,21,31,39,3.7e+00,10000,6.0e+00,3.8e-01,7.3e-01,1.1e+00
P,10/11/2018 01:17:08,8,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,23,23,27,39,3.7e+00,10000,6.0e+00,2.8e-01,6.2e-01,1.1e+00
P,10/11/2018 01:17:14,8,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,20,23,0,0,3.7e+00,10000,6.0e+00,3.0e-01,5.7e-01,1.6e+00
P,10/11/2018 01:17:20,10,1,0,3,0,0,2,2,0,0,0,0,0,0,0,0,17,31,0,31,3.7e+00,10000,6.0e+00,2.3e-01,5.9e-01,1.3e+00
P,10/11/2018 01:17:26,9,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,19,27,0,0,3.7e+00,10000,5.9e+00,4.3e-01,5.6e-01,5.6e-01
P,10/11/2018 01:17:32,7,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,23,25,29,0,3.7e+00,10000,6.0e+00,3.0e-01,5.4e-01,5.7e-01
P,10/11/2018 01:17:38,5,2,5,1,1,1,2,2,1,0,0,0,0,0,0,0,16,19,39,32,3.7e+00,10000,6.0e+00,3.3e-01,9.2e-01,2.7e+00
P,10/11/2018 01:17:44,4,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,23,27,0,0,3.7e+00,10000,6.0e+00,1.5e-01,3.6e-01,5.2e-01
P,10/11/2018 01:17:50,9,4,0,1,0,1,2,0,1,1,0,1,0,0,0,0,18,23,37,0,3.7e+00,10000,6.0e+00,2.8e-01,6.5e-01,1.5e+01
P,10/11/2018 01:17:56,6,3,1,2,0,2,1,1,0,0,0,0,0,0,0,0,17,23,25,29,3.8e+00,10000,6.0e+00,2.4e-01,5.5e-01,9.4e-01
P,10/11/2018 01:18:02,9,4,1,1,2,1,2,0,0,0,0,0,0,0,0,0,18,19,37,0,3.8e+00,10000,6.0e+00,3.2e-01,6.1e-01,7.8e-01
P,10/11/2018 01:18:08,4,4,1,2,0,1,1,1,0,0,0,0,0,0,0,0,17,26,23,29,3.8e+00,10000,6.0e+00,2.3e-01,4.9e-01,8.7e-01
P,10/11/2018 01:18:14,9,2,1,2,1,0,2,3,1,2,1,0,0,0,0,0,20,23,0,36,3.8e+00,10000,5.9e+00,2.6e-01,9.5e-01,1.3e+01
P,10/11/2018 01:18:20,9,4,5,1,0,2,0,0,0,0,0,0,0,0,0,0,20,27,32,0,3.8e+00,10000,6.0e+00,4.4e-01,6.7e-01,7.0e-01
P,10/11/2018 01:18:26,10,2,2,0,1,3,1,0,0,1,0,0,0,0,0,0,25,0,27,0,3.8e+00,10000,6.0e+00,3.0e-01,6.3e-01,3.2e+00
P,10/11/2018 01:18:32,4,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,20,32,0,0,3.8e+00,10000,5.9e+00,2.8e-01,5.0e-01,5.8e-01
P,10/11/2018 01:18:38,5,3,3,0,0,3,1,0,1,0,0,0,0,0,0,0,18,0,28,0,3.8e+00,10000,6.0e+00,2.8e-01,6.3e-01,1.7e+00
P,10/11/2018 01:18:44,11,0,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,25,26,0,3.8e+00,10000,6.0e+00,2.7e-01,5.9e-01,1.7e+00
P,10/11/2018 01:18:50,12,3,2,1,0,0,2,1,1,0,0,0,0,0,0,0,18,21,0,41,3.8e+00,10000,6.0e+00,3.5e-01,7.3e-01,2.1e+00
