type	time	latitude	longitude	altitude (m)	name	desc
T	2018-10-11 13:31:53	40.104168000	-88.241490000	222.9		
T	2018-10-11 13:31:54	40.104202000	-88.241493000	222.9		
T	2018-10-11 13:31:55	40.104238000	-88.241487000	222.9		
T	2018-10-11 13:31:56	40.104275000	-88.241482000	222.9		
T	2018-10-11 13:31:57	40.104310000	-88.241479000	222.9		
T	2018-10-11 13:31:58	40.104345000	-88.241481000	222.9		
T	2018-10-11 13:31:59	40.104381000	-88.241484000	222.9		
T	2018-10-11 13:32:00	40.104417000	-88.241488000	222.9		
T	2018-10-11 13:32:01	40.104452000	-88.241492000	222.9		
T	2018-10-11 13:32:02	40.104488000	-88.241494000	222.9		
T	2018-10-11 13:32:03	40.104523000	-88.241494000	222.9		
T	2018-10-11 13:32:04	40.104560000	-88.241492000	222.9		
T	2018-10-11 13:32:05	40.104596000	-88.241491000	222.9		
T	2018-10-11 13:32:06	40.104634000	-88.241493000	222.9		
T	2018-10-11 13:32:07	40.104667000	-88.241496000	222.9		
T	2018-10-11 13:32:08	40.104698000	-88.241497000	223.0		
T	2018-10-11 13:32:09	40.104731000	-88.241500000	223.0		
T	2018-10-11 13:32:10	40.104764000	-88.241504000	223.0		
T	2018-10-11 13:32:11	40.104796000	-88.241509000	223.0		
T	2018-10-11 13:32:12	40.104829000	-88.241506000	223.0		
T	2018-10-11 13:32:13	40.104861000	-88.241499000	223.0		
T	2018-10-11 13:32:14	40.104893000	-88.241492000	223.0		
T	2018-10-11 13:32:15	40.104925000	-88.241493000	223.0		
T	2018-10-11 13:32:16	40.104956000	-88.241496000	222.9		
T	2018-10-11 13:32:18	40.105009000	-88.241502000	222.8		
T	2018-10-11 13:32:19	40.105043000	-88.241507000	222.8		
T	2018-10-11 13:32:20	40.105078000	-88.241510000	222.7		
T	2018-10-11 13:32:21	40.105113000	-88.241512000	222.7		
T	2018-10-11 13:32:22	40.105148000	-88.241513000	222.6		
T	2018-10-11 13:32:23	40.105186000	-88.241515000	222.4		
T	2018-10-11 13:32:24	40.105225000	-88.241517000	222.3		
T	2018-10-11 13:32:25	40.105270000	-88.241515000	222.2		
T	2018-10-11 13:32:26	40.105315000	-88.241519000	222.1		
T	2018-10-11 13:32:27	40.105357000	-88.241521000	222.0		
T	2018-10-11 13:32:28	40.105396000	-88.241521000	222.0		
T	2018-10-11 13:32:29	40.105432000	-88.241528000	222.0		
T	2018-10-11 13:32:30	40.105468000	-88.241536000	222.0		
T	2018-10-11 13:32:31	40.105505000	-88.241535000	222.0		
T	2018-10-11 13:32:32	40.105543000	-88.241528000	222.0		
T	2018-10-11 13:32:33	40.105580000	-88.241522000	222.0		
T	2018-10-11 13:32:34	40.105616000	-88.241515000	222.0		
T	2018-10-11 13:32:35	40.105653000	-88.241507000	222.0		
T	2018-10-11 13:32:36	40.105690000	-88.241502000	222.0		
T	2018-10-11 13:32:37	40.105723000	-88.241503000	222.0		
T	2018-10-11 13:32:38	40.105759000	-88.241511000	222.0		
T	2018-10-11 13:32:39	40.105796000	-88.241520000	222.0		
T	2018-10-11 13:32:40	40.105832000	-88.241523000	222.0		
T	2018-10-11 13:32:41	40.105865000	-88.241529000	222.0		
T	2018-10-11 13:32:42	40.105901000	-88.241539000	222.0		
T	2018-10-11 13:32:43	40.105940000	-88.241546000	222.0		
T	2018-10-11 13:32:44	40.105974000	-88.241550000	222.0		
T	2018-10-11 13:32:45	40.106011000	-88.241550000	222.0		
T	2018-10-11 13:32:46	40.106048000	-88.241546000	222.0		
T	2018-10-11 13:32:47	40.106084000	-88.241543000	221.9		
T	2018-10-11 13:32:48	40.106119000	-88.241542000	221.9		
T	2018-10-11 13:32:49	40.106153000	-88.241541000	221.9		
T	2018-10-11 13:32:50	40.106192000	-88.241540000	221.9		
T	2018-10-11 13:32:51	40.106232000	-88.241541000	222.0		
T	2018-10-11 13:32:52	40.106268000	-88.241541000	222.0		
T	2018-10-11 13:32:53	40.106301000	-88.241539000	222.0		
T	2018-10-11 13:32:54	40.106338000	-88.241537000	221.9		
T	2018-10-11 13:32:55	40.106373000	-88.241543000	221.9		
T	2018-10-11 13:32:56	40.106407000	-88.241555000	221.9		
T	2018-10-11 13:32:57	40.106438000	-88.241568000	221.9		
T	2018-10-11 13:32:58	40.106467000	-88.241588000	222.0		
T	2018-10-11 13:32:59	40.106492000	-88.241614000	222.0		
T	2018-10-11 13:33:00	40.106510000	-88.241649000	222.0		
T	2018-10-11 13:33:01	40.106524000	-88.241691000	222.1		
T	2018-10-11 13:33:02	40.106537000	-88.241729000	222.1		
T	2018-10-11 13:33:03	40.106547000	-88.241770000	222.1		
T	2018-10-11 13:33:04	40.106551000	-88.241817000	222.0		
T	2018-10-11 13:33:05	40.106556000	-88.241865000	222.0		
T	2018-10-11 13:33:06	40.106554000	-88.241913000	222.0		
T	2018-10-11 13:33:07	40.106548000	-88.241965000	222.0		
T	2018-10-11 13:33:08	40.106543000	-88.242016000	222.0		
T	2018-10-11 13:33:09	40.106539000	-88.242062000	222.0		
T	2018-10-11 13:33:10	40.106536000	-88.242105000	222.0		
T	2018-10-11 13:33:11	40.106533000	-88.242149000	222.0		
T	2018-10-11 13:33:12	40.106531000	-88.242195000	222.0		
T	2018-10-11 13:33:13	40.106529000	-88.242237000	222.0		
T	2018-10-11 13:33:14	40.106526000	-88.242275000	222.0		
T	2018-10-11 13:33:16	40.106526000	-88.242327000	222.0		
T	2018-10-11 13:33:18	40.106530000	-88.242372000	222.0		
T	2018-10-11 13:33:21	40.106504000	-88.242400000	222.0		
T	2018-10-11 13:33:23	40.106461000	-88.242355000	222.0		
T	2018-10-11 13:33:24	40.106450000	-88.242317000	222.0		
T	2018-10-11 13:33:25	40.106454000	-88.242264000	222.0		
T	2018-10-11 13:33:26	40.106463000	-88.242214000	222.0		
T	2018-10-11 13:33:27	40.106471000	-88.242166000	222.0		
T	2018-10-11 13:33:28	40.106475000	-88.242122000	222.0		
T	2018-10-11 13:33:29	40.106477000	-88.242075000	222.0		
T	2018-10-11 13:33:30	40.106478000	-88.242028000	222.0		
T	2018-10-11 13:33:31	40.106476000	-88.241982000	222.0		
T	2018-10-11 13:33:32	40.106476000	-88.241941000	222.0		
T	2018-10-11 13:33:33	40.106472000	-88.241898000	222.0		
T	2018-10-11 13:33:34	40.106470000	-88.241851000	222.0		
T	2018-10-11 13:33:35	40.106469000	-88.241804000	222.0		
T	2018-10-11 13:33:36	40.106469000	-88.241756000	222.0		
T	2018-10-11 13:33:37	40.106468000	-88.241703000	222.0		
T	2018-10-11 13:33:38	40.106464000	-88.241647000	222.0		
T	2018-10-11 13:33:39	40.106453000	-88.241602000	222.0		
T	2018-10-11 13:33:40	40.106426000	-88.241569000	221.9		
T	2018-10-11 13:33:41	40.106380000	-88.241555000	221.9		
T	2018-10-11 13:33:42	40.106337000	-88.241553000	221.9		
T	2018-10-11 13:33:43	40.106294000	-88.241550000	222.0		
T	2018-10-11 13:33:44	40.106259000	-88.241549000	222.0		
T	2018-10-11 13:33:45	40.106225000	-88.241549000	221.9		
T	2018-10-11 13:33:46	40.106187000	-88.241549000	221.9		
T	2018-10-11 13:33:47	40.106149000	-88.241551000	221.9		
T	2018-10-11 13:33:48	40.106111000	-88.241552000	221.9		
T	2018-10-11 13:33:49	40.106073000	-88.241554000	222.0		
T	2018-10-11 13:33:50	40.106036000	-88.241555000	222.0		
T	2018-10-11 13:33:51	40.106000000	-88.241557000	222.0		
T	2018-10-11 13:33:52	40.105963000	-88.241558000	222.0		
T	2018-10-11 13:33:53	40.105926000	-88.241563000	222.0		
T	2018-10-11 13:33:54	40.105889000	-88.241568000	222.0		
T	2018-10-11 13:33:55	40.105854000	-88.241571000	222.0		
T	2018-10-11 13:33:56	40.105819000	-88.241573000	222.0		
T	2018-10-11 13:33:57	40.105781000	-88.241573000	222.0		
T	2018-10-11 13:33:58	40.105742000	-88.241572000	222.0		
T	2018-10-11 13:33:59	40.105704000	-88.241569000	222.0		
T	2018-10-11 13:34:00	40.105669000	-88.241567000	222.0		
T	2018-10-11 13:34:01	40.105632000	-88.241564000	222.0		
T	2018-10-11 13:34:02	40.105595000	-88.241559000	222.0		
T	2018-10-11 13:34:03	40.105559000	-88.241552000	222.0		
T	2018-10-11 13:34:04	40.105518000	-88.241543000	222.0		
T	2018-10-11 13:34:05	40.105478000	-88.241543000	222.0		
T	2018-10-11 13:34:06	40.105439000	-88.241547000	222.0		
T	2018-10-11 13:34:07	40.105402000	-88.241553000	222.0		
T	2018-10-11 13:34:08	40.105364000	-88.241562000	222.0		
T	2018-10-11 13:34:09	40.105323000	-88.241568000	222.1		
T	2018-10-11 13:34:10	40.105281000	-88.241572000	222.2		
T	2018-10-11 13:34:11	40.105238000	-88.241574000	222.3		
T	2018-10-11 13:34:12	40.105199000	-88.241573000	222.4		
T	2018-10-11 13:34:13	40.105162000	-88.241572000	222.5		
T	2018-10-11 13:34:14	40.105126000	-88.241569000	222.7		
T	2018-10-11 13:34:15	40.105089000	-88.241567000	222.7		
T	2018-10-11 13:34:16	40.105052000	-88.241565000	222.8		
T	2018-10-11 13:34:17	40.105015000	-88.241563000	222.8		
T	2018-10-11 13:34:18	40.104976000	-88.241562000	222.9		
T	2018-10-11 13:34:19	40.104938000	-88.241560000	222.9		
T	2018-10-11 13:34:20	40.104899000	-88.241559000	223.0		
T	2018-10-11 13:34:21	40.104860000	-88.241556000	223.0		
T	2018-10-11 13:34:22	40.104820000	-88.241554000	223.0		
T	2018-10-11 13:34:23	40.104779000	-88.241552000	223.0		
T	2018-10-11 13:34:24	40.104740000	-88.241553000	223.0		
T	2018-10-11 13:34:25	40.104702000	-88.241548000	223.0		
T	2018-10-11 13:34:26	40.104663000	-88.241543000	222.9		
T	2018-10-11 13:34:27	40.104621000	-88.241545000	222.9		
T	2018-10-11 13:34:28	40.104579000	-88.241546000	222.9		
T	2018-10-11 13:34:29	40.104539000	-88.241548000	222.9		
T	2018-10-11 13:34:30	40.104503000	-88.241552000	222.9		
T	2018-10-11 13:34:31	40.104469000	-88.241557000	222.9		
T	2018-10-11 13:34:32	40.104434000	-88.241558000	222.9		
T	2018-10-11 13:34:33	40.104399000	-88.241558000	222.9		
T	2018-10-11 13:34:34	40.104365000	-88.241557000	222.9		
T	2018-10-11 13:34:35	40.104332000	-88.241557000	222.9		
T	2018-10-11 13:34:36	40.104300000	-88.241558000	222.9		
T	2018-10-11 13:34:37	40.104269000	-88.241557000	222.9		
T	2018-10-11 13:34:38	40.104242000	-88.241556000	222.9		
T	2018-10-11 13:34:39	40.104212000	-88.241552000	222.9		
T	2018-10-11 13:34:40	40.104180000	-88.241548000	222.9		
T	2018-10-11 13:34:41	40.104147000	-88.241548000	222.9		
T	2018-10-11 13:34:42	40.104113000	-88.241549000	223.0		
T	2018-10-11 13:34:43	40.104080000	-88.241550000	223.0		
T	2018-10-11 13:34:44	40.104047000	-88.241554000	223.0		
T	2018-10-11 13:34:45	40.104012000	-88.241553000	223.0		
T	2018-10-11 13:34:46	40.103976000	-88.241551000	223.0		
T	2018-10-11 13:34:47	40.103941000	-88.241549000	223.0		
T	2018-10-11 13:34:48	40.103906000	-88.241550000	223.0		
T	2018-10-11 13:34:49	40.103873000	-88.241553000	223.0		
T	2018-10-11 13:34:50	40.103839000	-88.241563000	223.0		
T	2018-10-11 13:34:51	40.103811000	-88.241582000	223.0		
T	2018-10-11 13:34:52	40.103791000	-88.241609000	223.0		
T	2018-10-11 13:34:53	40.103783000	-88.241645000	223.0		
T	2018-10-11 13:34:54	40.103783000	-88.241688000	223.0		
T	2018-10-11 13:34:55	40.103788000	-88.241732000	223.0		
T	2018-10-11 13:34:56	40.103805000	-88.241787000	223.0		
T	2018-10-11 13:34:57	40.103813000	-88.241831000	223.0		
T	2018-10-11 13:34:58	40.103822000	-88.241875000	223.0		
T	2018-10-11 13:34:59	40.103828000	-88.241913000	223.0		
T	2018-10-11 13:35:01	40.103835000	-88.241976000	223.0		
T	2018-10-11 13:35:03	40.103840000	-88.242033000	223.0		
T	2018-10-11 13:35:05	40.103834000	-88.242095000	223.0		
T	2018-10-11 13:35:07	40.103824000	-88.242147000	223.0		
T	2018-10-11 13:35:09	40.103799000	-88.242187000	223.0		
T	2018-10-11 13:35:11	40.103767000	-88.242215000	223.0		
T	2018-10-11 13:35:13	40.103730000	-88.242224000	223.0		
T	2018-10-11 13:35:15	40.103690000	-88.242236000	223.0		
T	2018-10-11 13:35:17	40.103648000	-88.242234000	223.0		
T	2018-10-11 13:35:19	40.103620000	-88.242214000	223.0		
T	2018-10-11 13:35:21	40.103632000	-88.242164000	223.0		
T	2018-10-11 13:35:23	40.103657000	-88.242141000	223.0		
T	2018-10-11 13:35:25	40.103707000	-88.242117000	223.0		
T	2018-10-11 13:35:27	40.103734000	-88.242080000	223.0		
T	2018-10-11 13:35:29	40.103738000	-88.242013000	223.0		
T	2018-10-11 13:35:30	40.103742000	-88.241978000	223.0		
T	2018-10-11 13:35:31	40.103745000	-88.241940000	223.0		
T	2018-10-11 13:35:33	40.103750000	-88.241877000	223.0		
T	2018-10-11 13:35:34	40.103759000	-88.241843000	223.0		
T	2018-10-11 13:35:36	40.103769000	-88.241781000	223.0		
T	2018-10-11 13:35:37	40.103783000	-88.241749000	223.0		
T	2018-10-11 13:35:38	40.103788000	-88.241713000	223.0		
T	2018-10-11 13:35:40	40.103792000	-88.241645000	223.0		
T	2018-10-11 13:35:41	40.103783000	-88.241610000	223.0		
T	2018-10-11 13:35:43	40.103782000	-88.241551000	223.0		
T	2018-10-11 13:35:45	40.103832000	-88.241519000	223.0		
T	2018-10-11 13:35:46	40.103864000	-88.241515000	223.0		
T	2018-10-11 13:35:47	40.103895000	-88.241512000	223.0		
T	2018-10-11 13:35:48	40.103927000	-88.241509000	223.0		
T	2018-10-11 13:35:49	40.103957000	-88.241506000	223.0		
T	2018-10-11 13:35:50	40.103985000	-88.241499000	223.0		
T	2018-10-11 13:35:51	40.104011000	-88.241488000	223.0		
T	2018-10-11 13:35:52	40.104036000	-88.241468000	223.0		
T	2018-10-11 13:35:53	40.104058000	-88.241440000	222.9		
T	2018-10-11 13:35:54	40.104071000	-88.241398000	222.9		
T	2018-10-11 13:35:55	40.104078000	-88.241354000	222.9		
T	2018-10-11 13:35:56	40.104081000	-88.241307000	222.9		
T	2018-10-11 13:35:57	40.104080000	-88.241262000	222.8		
T	2018-10-11 13:35:58	40.104077000	-88.241220000	222.8		
T	2018-10-11 13:35:59	40.104073000	-88.241176000	222.8		
T	2018-10-11 13:36:00	40.104070000	-88.241131000	222.8		
T	2018-10-11 13:36:01	40.104068000	-88.241085000	222.7		
T	2018-10-11 13:36:02	40.104068000	-88.241037000	222.7		
T	2018-10-11 13:36:03	40.104064000	-88.240990000	222.7		
T	2018-10-11 13:36:04	40.104066000	-88.240945000	222.7		
T	2018-10-11 13:36:05	40.104066000	-88.240899000	222.6		
T	2018-10-11 13:36:06	40.104065000	-88.240853000	222.6		
T	2018-10-11 13:36:07	40.104062000	-88.240807000	222.6		
T	2018-10-11 13:36:08	40.104059000	-88.240760000	222.6		
T	2018-10-11 13:36:09	40.104055000	-88.240711000	222.6		
T	2018-10-11 13:36:10	40.104052000	-88.240664000	222.6		
T	2018-10-11 13:36:11	40.104045000	-88.240614000	222.6		
T	2018-10-11 13:36:12	40.104035000	-88.240561000	222.5		
T	2018-10-11 13:36:13	40.104030000	-88.240511000	222.5		
T	2018-10-11 13:36:14	40.104028000	-88.240461000	222.5		
T	2018-10-11 13:36:15	40.104025000	-88.240415000	222.5		
T	2018-10-11 13:36:16	40.104025000	-88.240371000	222.5		
T	2018-10-11 13:36:17	40.104026000	-88.240326000	222.5		
T	2018-10-11 13:36:18	40.104028000	-88.240278000	222.6		
T	2018-10-11 13:36:19	40.104028000	-88.240230000	222.6		
T	2018-10-11 13:36:20	40.104026000	-88.240180000	222.6		
T	2018-10-11 13:36:21	40.104025000	-88.240130000	222.6		
T	2018-10-11 13:36:22	40.104024000	-88.240081000	222.6		
T	2018-10-11 13:36:23	40.104024000	-88.240032000	222.6		
T	2018-10-11 13:36:24	40.104025000	-88.239983000	222.6		
T	2018-10-11 13:36:25	40.104032000	-88.239933000	222.6		
T	2018-10-11 13:36:26	40.104038000	-88.239884000	222.6		
T	2018-10-11 13:36:27	40.104042000	-88.239835000	222.6		
T	2018-10-11 13:36:28	40.104045000	-88.239786000	222.6		
T	2018-10-11 13:36:29	40.104047000	-88.239739000	222.6		
T	2018-10-11 13:36:30	40.104046000	-88.239695000	222.6		
T	2018-10-11 13:36:31	40.104045000	-88.239652000	222.6		
T	2018-10-11 13:36:32	40.104044000	-88.239606000	222.6		
T	2018-10-11 13:36:33	40.104048000	-88.239565000	222.7		
T	2018-10-11 13:36:34	40.104049000	-88.239526000	222.7		
T	2018-10-11 13:36:35	40.104053000	-88.239486000	222.7		
T	2018-10-11 13:36:36	40.104056000	-88.239444000	222.7		
T	2018-10-11 13:36:37	40.104052000	-88.239401000	222.7		
T	2018-10-11 13:36:38	40.104049000	-88.239356000	222.7		
T	2018-10-11 13:36:39	40.104045000	-88.239310000	222.7		
T	2018-10-11 13:36:40	40.104041000	-88.239264000	222.7		
T	2018-10-11 13:36:41	40.104037000	-88.239220000	222.7		
T	2018-10-11 13:36:42	40.104034000	-88.239175000	222.7		
T	2018-10-11 13:36:43	40.104038000	-88.239126000	222.7		
T	2018-10-11 13:36:44	40.104041000	-88.239079000	222.8		
T	2018-10-11 13:36:45	40.104038000	-88.239034000	222.8		
T	2018-10-11 13:36:46	40.104040000	-88.238986000	222.8		
T	2018-10-11 13:36:47	40.104042000	-88.238939000	222.8		
T	2018-10-11 13:36:48	40.104043000	-88.238896000	222.9		
T	2018-10-11 13:36:49	40.104043000	-88.238857000	222.9		
T	2018-10-11 13:36:51	40.104048000	-88.238801000	222.9		
T	2018-10-11 13:36:53	40.104061000	-88.238767000	223.0		
T	2018-10-11 13:36:55	40.104055000	-88.238716000	223.0		
T	2018-10-11 13:36:56	40.104056000	-88.238674000	223.0		
T	2018-10-11 13:36:57	40.104064000	-88.238626000	223.0		
T	2018-10-11 13:36:58	40.104072000	-88.238575000	223.0		
T	2018-10-11 13:36:59	40.104075000	-88.238522000	223.0		
T	2018-10-11 13:37:00	40.104076000	-88.238470000	223.0		
T	2018-10-11 13:37:01	40.104078000	-88.238418000	223.0		
T	2018-10-11 13:37:02	40.104081000	-88.238367000	223.1		
T	2018-10-11 13:37:03	40.104083000	-88.238318000	223.1		
T	2018-10-11 13:37:04	40.104084000	-88.238270000	223.2		
T	2018-10-11 13:37:05	40.104086000	-88.238222000	223.2		
T	2018-10-11 13:37:06	40.104089000	-88.238175000	223.2		
T	2018-10-11 13:37:07	40.104092000	-88.238128000	223.2		
T	2018-10-11 13:37:08	40.104093000	-88.238080000	223.2		
T	2018-10-11 13:37:09	40.104094000	-88.238034000	223.3		
T	2018-10-11 13:37:10	40.104093000	-88.237986000	223.3		
T	2018-10-11 13:37:11	40.104092000	-88.237938000	223.3		
T	2018-10-11 13:37:12	40.104093000	-88.237889000	223.4		
T	2018-10-11 13:37:13	40.104098000	-88.237840000	223.4		
T	2018-10-11 13:37:14	40.104105000	-88.237789000	223.4		
T	2018-10-11 13:37:15	40.104110000	-88.237740000	223.5		
T	2018-10-11 13:37:16	40.104114000	-88.237690000	223.5		
T	2018-10-11 13:37:17	40.104116000	-88.237640000	223.5		
T	2018-10-11 13:37:18	40.104120000	-88.237588000	223.5		
T	2018-10-11 13:37:19	40.104125000	-88.237537000	223.6		
T	2018-10-11 13:37:20	40.104131000	-88.237486000	223.6		
T	2018-10-11 13:37:21	40.104138000	-88.237435000	223.6		
T	2018-10-11 13:37:22	40.104141000	-88.237384000	223.6		
T	2018-10-11 13:37:23	40.104143000	-88.237333000	223.6		
T	2018-10-11 13:37:24	40.104143000	-88.237283000	223.6		
T	2018-10-11 13:37:25	40.104143000	-88.237232000	223.7		
T	2018-10-11 13:37:26	40.104144000	-88.237181000	223.7		
T	2018-10-11 13:37:27	40.104144000	-88.237130000	223.7		
T	2018-10-11 13:37:28	40.104142000	-88.237077000	223.7		
T	2018-10-11 13:37:29	40.104137000	-88.237025000	223.8		
T	2018-10-11 13:37:30	40.104134000	-88.236974000	223.8		
T	2018-10-11 13:37:31	40.104133000	-88.236922000	223.9		
T	2018-10-11 13:37:32	40.104134000	-88.236870000	223.9		
T	2018-10-11 13:37:33	40.104135000	-88.236819000	223.9		
T	2018-10-11 13:37:34	40.104135000	-88.236773000	223.9		
T	2018-10-11 13:37:35	40.104134000	-88.236726000	224.0		
T	2018-10-11 13:37:36	40.104132000	-88.236680000	224.0		
T	2018-10-11 13:37:37	40.104131000	-88.236636000	224.0		
T	2018-10-11 13:37:38	40.104130000	-88.236592000	224.0		
T	2018-10-11 13:37:39	40.104129000	-88.236547000	224.0		
T	2018-10-11 13:37:40	40.104124000	-88.236504000	224.1		
T	2018-10-11 13:37:41	40.104117000	-88.236466000	224.1		
T	2018-10-11 13:37:43	40.104086000	-88.236422000	224.1		
T	2018-10-11 13:37:45	40.104055000	-88.236404000	224.1		
T	2018-10-11 13:37:54	40.104025000	-88.236410000	224.1		
T	2018-10-11 13:38:39	40.104009000	-88.236326000	224.2		
T	2018-10-11 13:38:40	40.104008000	-88.236288000	224.2		
T	2018-10-11 13:38:41	40.104008000	-88.236249000	224.2		
T	2018-10-11 13:38:42	40.104008000	-88.236211000	224.3		
T	2018-10-11 13:38:43	40.104011000	-88.236170000	224.3		
T	2018-10-11 13:38:44	40.104014000	-88.236128000	224.3		
T	2018-10-11 13:38:45	40.104020000	-88.236089000	224.3		
T	2018-10-11 13:38:46	40.104023000	-88.236052000	224.3		
T	2018-10-11 13:38:47	40.104027000	-88.236014000	224.3		
T	2018-10-11 13:38:48	40.104035000	-88.235971000	224.4		
T	2018-10-11 13:38:49	40.104046000	-88.235924000	224.5		
T	2018-10-11 13:38:50	40.104054000	-88.235878000	224.6		
T	2018-10-11 13:38:51	40.104058000	-88.235834000	224.1		
T	2018-10-11 13:38:52	40.104068000	-88.235783000	223.5		
T	2018-10-11 13:38:53	40.104080000	-88.235727000	223.0		
T	2018-10-11 13:38:54	40.104093000	-88.235677000	222.6		
T	2018-10-11 13:38:55	40.104100000	-88.235634000	222.4		
T	2018-10-11 13:38:56	40.104102000	-88.235593000	222.5		
T	2018-10-11 13:38:57	40.104101000	-88.235552000	222.6		
T	2018-10-11 13:38:58	40.104096000	-88.235510000	222.8		
T	2018-10-11 13:38:59	40.104088000	-88.235468000	223.4		
T	2018-10-11 13:39:00	40.104072000	-88.235437000	223.9		
T	2018-10-11 13:39:01	40.104057000	-88.235403000	224.3		
T	2018-10-11 13:39:02	40.104045000	-88.235367000	224.3		
T	2018-10-11 13:39:03	40.104037000	-88.235332000	224.3		
T	2018-10-11 13:39:04	40.104035000	-88.235294000	224.3		
T	2018-10-11 13:39:05	40.104035000	-88.235253000	224.3		
T	2018-10-11 13:39:06	40.104036000	-88.235206000	224.3		
T	2018-10-11 13:39:07	40.104039000	-88.235157000	224.3		
T	2018-10-11 13:39:08	40.104044000	-88.235109000	224.4		
T	2018-10-11 13:39:09	40.104052000	-88.235056000	224.5		
T	2018-10-11 13:39:10	40.104052000	-88.235004000	224.7		
T	2018-10-11 13:39:11	40.104049000	-88.234951000	224.9		
T	2018-10-11 13:39:12	40.104049000	-88.234897000	224.9		
T	2018-10-11 13:39:13	40.104048000	-88.234848000	225.0		
T	2018-10-11 13:39:14	40.104054000	-88.234798000	225.0		
T	2018-10-11 13:39:15	40.104060000	-88.234757000	225.0		
T	2018-10-11 13:39:16	40.104066000	-88.234722000	225.0		
T	2018-10-11 13:39:17	40.104065000	-88.234681000	225.0		
T	2018-10-11 13:39:18	40.104055000	-88.234639000	225.0		
T	2018-10-11 13:39:19	40.104045000	-88.234604000	225.1		
T	2018-10-11 13:39:20	40.104041000	-88.234565000	225.1		
T	2018-10-11 13:39:21	40.104047000	-88.234517000	225.1		
T	2018-10-11 13:39:22	40.104060000	-88.234462000	225.1		
T	2018-10-11 13:39:23	40.104073000	-88.234408000	225.2		
T	2018-10-11 13:39:24	40.104088000	-88.234350000	225.3		
T	2018-10-11 13:39:25	40.104098000	-88.234297000	225.3		
T	2018-10-11 13:39:26	40.104107000	-88.234247000	225.4		
T	2018-10-11 13:39:27	40.104110000	-88.234198000	225.4		
T	2018-10-11 13:39:28	40.104111000	-88.234150000	225.4		
T	2018-10-11 13:39:29	40.104110000	-88.234103000	225.4		
T	2018-10-11 13:39:30	40.104114000	-88.234055000	225.5		
T	2018-10-11 13:39:31	40.104119000	-88.234005000	225.5		
T	2018-10-11 13:39:32	40.104125000	-88.233954000	225.5		
T	2018-10-11 13:39:33	40.104124000	-88.233906000	225.5		
T	2018-10-11 13:39:34	40.104122000	-88.233866000	225.6		
T	2018-10-11 13:39:35	40.104121000	-88.233827000	225.6		
T	2018-10-11 13:39:37	40.104118000	-88.233761000	225.7		
T	2018-10-11 13:39:39	40.104116000	-88.233703000	225.7		
T	2018-10-11 13:39:41	40.104111000	-88.233626000	225.8		
T	2018-10-11 13:39:42	40.104108000	-88.233571000	225.8		
T	2018-10-11 13:39:43	40.104108000	-88.233518000	225.9		
T	2018-10-11 13:39:44	40.104111000	-88.233468000	226.0		
T	2018-10-11 13:39:45	40.104120000	-88.233418000	226.0		
T	2018-10-11 13:39:46	40.104126000	-88.233366000	226.0		
T	2018-10-11 13:39:47	40.104132000	-88.233312000	226.0		
T	2018-10-11 13:39:48	40.104138000	-88.233259000	226.0		
T	2018-10-11 13:39:49	40.104140000	-88.233207000	226.0		
T	2018-10-11 13:39:50	40.104140000	-88.233155000	226.0		
T	2018-10-11 13:39:51	40.104139000	-88.233102000	226.0		
T	2018-10-11 13:39:52	40.104139000	-88.233046000	226.0		
T	2018-10-11 13:39:53	40.104142000	-88.232990000	226.0		
T	2018-10-11 13:39:54	40.104146000	-88.232936000	226.0		
T	2018-10-11 13:39:55	40.104152000	-88.232881000	226.1		
T	2018-10-11 13:39:56	40.104154000	-88.232824000	226.1		
T	2018-10-11 13:39:57	40.104154000	-88.232765000	226.1		
T	2018-10-11 13:39:58	40.104152000	-88.232708000	226.1		
T	2018-10-11 13:39:59	40.104148000	-88.232657000	226.1		
T	2018-10-11 13:40:00	40.104147000	-88.232608000	226.1		
T	2018-10-11 13:40:01	40.104144000	-88.232557000	226.1		
T	2018-10-11 13:40:02	40.104138000	-88.232505000	226.1		
T	2018-10-11 13:40:03	40.104130000	-88.232456000	226.2		
T	2018-10-11 13:40:04	40.104122000	-88.232408000	226.2		
T	2018-10-11 13:40:05	40.104113000	-88.232361000	226.2		
T	2018-10-11 13:40:06	40.104110000	-88.232317000	226.2		
T	2018-10-11 13:40:07	40.104108000	-88.232273000	226.1		
T	2018-10-11 13:40:08	40.104107000	-88.232229000	226.1		
T	2018-10-11 13:40:09	40.104111000	-88.232182000	226.1		
T	2018-10-11 13:40:10	40.104118000	-88.232133000	226.1		
T	2018-10-11 13:40:11	40.104126000	-88.232082000	226.1		
T	2018-10-11 13:40:12	40.104131000	-88.232030000	226.1		
T	2018-10-11 13:40:13	40.104135000	-88.231979000	226.1		
T	2018-10-11 13:40:14	40.104140000	-88.231930000	226.0		
T	2018-10-11 13:40:15	40.104144000	-88.231876000	226.0		
T	2018-10-11 13:40:16	40.104148000	-88.231820000	226.0		
T	2018-10-11 13:40:17	40.104153000	-88.231762000	226.0		
T	2018-10-11 13:40:18	40.104157000	-88.231705000	226.0		
T	2018-10-11 13:40:19	40.104159000	-88.231649000	225.9		
T	2018-10-11 13:40:20	40.104158000	-88.231593000	225.9		
T	2018-10-11 13:40:21	40.104156000	-88.231538000	225.9		
